Anon Student Id,SpatialSkills,Pretest,ImmediatePosttest,DelayedPosttest,Total1stAttemptErrorRate,Condition
Stu_04eb86790b7d4822b6691e62211e2037,0.875,0.5417,0.7684,0.7108,0.3912,Control
Stu_0cdf65fd200b3168cc06dc5f8ca2600b,0.8125,0.4322,0.5207,0.5023,0.4695,Control
Stu_1ba2ae4e6a1573359ea2eb06b9024128,0.7708,0.6264,0.7323,0.7063,0.3177,Control
Stu_2027d6faeff15cba5cdafd52741bbbc9,0.8958,0.5268,0.7596,0.7372,0.2735,Intervention
Stu_26672f4afb6747921436eb2b8bcc52d9,0.9583,0.3936,0.9022,0.8798,0.2155,Intervention
Stu_291a52d708c8587184f6defcece3559a,0.8958,0.4187,0.7412,0.779,0.3253,Intervention
Stu_2b25283467d9e8ce5d515e80c6831232,0.9583,0.6733,0.8559,0.7791,0.2736,Intervention
Stu_301880f78f913cb1da3735aef28758f4,0.5625,0.2577,0.4179,0.4146,0.4798,Control
Stu_3b7cd67b4b017b06b380ed943142908f,1,0.8015,0.7958,0.8257,0.1551,Intervention
Stu_3ca310fd0c51081fb3bee74127d1291e,1,0.4981,0.8279,0.7757,0.3189,Control
Stu_4154b40d4c705f1fe186dc9704857322,0.625,0.253,0.4564,0.5168,0.6083,Intervention
Stu_4176bc82a65eacefe0cabfa3332c5f7f,0.9167,0.4044,0.5979,0.6343,0.388,Intervention
Stu_44db9689ea82417e67a18f66bdf75994,0.7708,0.4316,0.5683,0.4907,0.4487,Control
Stu_50e44f603259de5dce8caea0480f2f09,0.9375,0.5006,0.6316,0.4859,0.3919,Control
Stu_534299f8bbfacc951ad5dc897263bd45,0.9583,0.5096,0.7331,0.6962,0.3463,Intervention
Stu_5e42deca07e5d2fead98f04c8660da1b,0.875,0.454,0.5437,0.5619,0.3937,Intervention
Stu_5f39be0e650173aa45d92cb4ff1e5c92,0.9792,0.2995,0.7459,0.9127,0.2536,Intervention
Stu_63c2c7e570e1612278b7d35d0c502219,0.9792,0.5989,0.7417,0.8105,0.3574,Control
Stu_671ae62fb265b54e5d8be393fd23a6a7,0.7917,0.2062,0.2037,0.2888,0.5795,Intervention
Stu_6aec2c4ae51c7800dd412a4e72daa235,0.9792,0.5879,0.6674,0.6878,0.3669,Control
Stu_729b3a534401c2cff10bd8cfeca7fbaf,0.625,0.3691,0.3877,0.3705,0.4475,Control
Stu_72dc74ea7f69b991ea68b455d2473367,0.9375,0.2635,0.5394,0.5136,0.4414,Intervention
Stu_73fc9075c5aab69b8ed99ed1cdac2bdd,0.75,0.4584,0.43,0.6309,0.4995,Control
Stu_86b9535d4abe201609803826b67b5f53,0.7917,0.3871,0.5624,0.6896,0.3286,Control
Stu_8b49aadd43054f4fa3d7b08c1f04391b,0.875,0.2839,0.4321,0.5158,0.4975,Intervention
Stu_911daadcd1615f191c8bb7daee857365,0.7292,0.5393,0.6624,0.5756,0.4044,Control
Stu_929d01a2287521f6260ba6368aee25ac,1,0.3893,0.6898,0.654,0.4297,Control
Stu_9f94d632437b11e50db26f91b86a1ccb,0.9375,0.4566,0.4296,0.4406,0.5596,Control
Stu_a86b869ffb74772f0a3d20574e5c1f74,0.9167,0.5027,0.5653,0.6021,0.4355,Control
Stu_b25537810c4d52dedd92621681a40904,0.9792,0.4681,0.7319,0.7922,0.2607,Intervention
Stu_b531e739a1fd501ad32d6086a3787314,0.9792,0.6604,0.8295,0.7949,0.2834,Control
Stu_b94928470becbaefa9c092525fbee74f,0.9583,0.567,0.8595,0.7829,0.1868,Intervention
Stu_b960fe57ba952a16b4f7da6b6efbbcbb,0.9565,0.8574,0.8558,0.8851,0.0981,Intervention
Stu_c1cb189a40de86ec1b201835b0809c6f,0.7083,0.5914,0.6907,0.677,0.229,Control
Stu_c71e24abbccd9fb6d53a309a446256ac,0.9167,0.6241,0.7853,0.7548,0.2544,Intervention
Stu_d2c8ba5b708ec916ecda77c4d0abd2c9,0.9583,0.3768,0.5578,0.5181,0.4617,Intervention
Stu_d6ff43a89e2af7d9ca8ccb4f745fdd41,0.9375,0.3716,0.6569,0.8052,0.3834,Intervention
Stu_dda9960bacc96af4f0516c25256deb78,0.9583,0.5207,0.4571,0.6577,0.4035,Control
Stu_ddc1455b954cc94c43e340d9c4aaf65a,0.9583,0.5098,0.8357,0.8323,0.1985,Intervention
Stu_e171bc7541cb6761df6f7ea378d24b05,0.6875,0.5924,0.7299,0.686,0.6194,Control
Stu_e1c5cb061776cce99f216f31532b3a67,0.9583,0.3995,0.7482,0.5769,0.5414,Intervention
Stu_e205297d9c8ce7e5cc27f68b03fded8e,0.875,0.2731,0.4281,0.3764,0.6022,Intervention
Stu_e5105ffa7e2b81382a17eff8bca8b18b,0.8542,0.5344,0.5652,0.6847,0.3282,Control
Stu_e5269084e15ac044fa8b03ebaae239ee,0.875,0.6967,0.779,0.8239,0.2094,Intervention
